STATE,Total Population,Sept 2021 Unemployment,Feb 2021 Unemployment rate,Median Income 2018,2019 per capita GDP,Minimum Wage,2020 Poverty Rate (in proportion),% who attend religious services at least once a week,% 25 and older w/4 year college degree or higher,% Vote Trump 2020,% Vote Biden 2020,Voter Turnout - 2020,Democratic or Republican Governor in 2021,% Foreign Born Population,Support for Black Lives Matter - April 2021,Opposition to Black Lives Matter - April 2021,diversity index 2020,Police Killing 2013-20 Black people killed,Police 2013-20 # Hispanic people killed,Police Killing Total 2013-20,Police Killing # White 13-20,% African-American in state,% police killing Victims Black,ratio of % victims black/% population Black,Policing & Corrections Per Capita Spend,Policing & Corrections % of Total Spend,Policing & Corrections Expenditures ($ Millions),Corrections Spend as % of Policing,"Legislation opposing CRT active, inprocess as of 9/22",
Alabama,4903185,3.1,4,49936,46484,7.25,0.1613,51,24.5,62,36.6,62.4,Republican,3.3,32,55,53.1,59,1,158,84,26%,37%,1.41,449.00,4%,2200.00,0.62,yes,
Alaska,731545,6.3,6.6,68734,74135,10.34,0.1062,30,29,52.8,42.8,69.8,Republican,8.2,39,48,62.8,4,1,49,24,3%,8%,2.64,986.00,5%,722.00,0.88,no,
Arizona,7278717,5.7,6.9,62283,50758,12.15,0.1388,34,28.4,49.1,49.4,65.5,Republican,13.4,44,45,61.5,33,139,392,159,4%,8%,2.04,605.00,7%,4405.00,0.72,no,
Arkansas,3017804,4,4.5,49781,43348,11,0.1636,41,22,62.4,34.8,56.1,Republican,4.8,29,60,49.8,35,3,117,67,15%,30%,1.95,413.00,4%,1247.00,0.73,no,
California,39512223,7.5,8.5,70489,79437,14,0.13,31,32.6,34.3,63.5,62.5,Democrat,26.9,58,29,69.7,204,540,1348,368,6%,15%,2.74,907.00,6%,35829.00,0.72,no,
Colorado,5758736,5.6,6.6,73034,68245,12.32,0.096,30,39.4,41.9,55.4,77.1,Democrat,9.6,50,37,52.3,28,79,272,123,4%,10%,2.63,622.00,5%,3581.00,0.68,no,
Connecticut,3565287,6.8,8.5,72812,80712,12,0.0969,28,38.4,39.2,59.2,71.1,Democrat,14.6,54,31,55.7,9,8,41,20,10%,22%,2.23,530.00,4%,1889.00,0.52,no,
Delaware,973764,5.3,6.3,65012,78924,9.25,0.1105,34,31,39.8,58.7,70.8,Democrat,9.4,50,35,59.6,10,1,22,8,22%,45%,2.11,752.00,6%,732.00,0.96,no,
Florida,21477737,4.9,4.7,54644,51484,8.65,0.1308,35,28.5,51.2,47.9,72,Republican,21,44,44,64.1,195,88,638,282,15%,31%,1.99,664.00,7%,14252.00,0.51,yes,
Georgia,10617423,3.2,4.8,55821,58874,7.25,0.1411,42,29.9,49.3,49.5,68.1,Republican,10.1,45,45,64.1,121,14,309,120,31%,39%,1.26,472.00,5%,5010.00,0.76,yes,
Hawaii,1415872,6.6,9.2,80108,67634,10.1,0.0929,28,32,34.3,63.7,57.5,Democrat,18.7,57,26,76,1,4,40,5,2%,3%,1.45,529.00,4%,749.00,0.48,no,
Idaho,1787065,2.9,3.3,58728,46765,7.25,0.1189,35,26.8,63.9,33.1,67.7,Republican,6,29,60,35.9,1,7,57,39,1%,2%,2.76,523.00,6%,935.00,0.93,yes,
