libusea,libuseb,sex,age,par,inc,live,books
Y,Y,female,34,yes,30-under 75,A suburb near a large city,10
N,N,male,53,no,under 30,A rural area,4
Y,N,female,49,yes,under 30,A rural area,7
N,N,male,73,no,30-under 75,A small city or town,30
Y,Y,female,63,no,,A rural area,15
Y,N,female,85,no,30-under 75,A suburb near a large city,8
N,N,male,34,yes,30-under 75,A large city,0
Y,Y,female,69,no,75-under 150,A suburb near a large city,12
Y,N,female,73,no,30-under 75,A rural area,0
Y,Y,male,35,yes,30-under 75,A small city or town,10
Y,N,female,60,no,150+,A rural area,2
N,N,female,50,no,under 30,A small city or town,0
Y,Y,female,18,no,30-under 75,A suburb near a large city,6
Y,N,female,50,no,30-under 75,A suburb near a large city,7
N,N,male,87,no,under 30,A suburb near a large city,9
Y,N,female,59,yes,30-under 75,A rural area,7
Y,Y,female,48,no,30-under 75,A suburb near a large city,75
N,N,male,92,no,under 30,A small city or town,0
Y,N,female,50,no,,A rural area,20
Y,N,female,94,no,75-under 150,A small city or town,
Y,N,female,18,no,under 30,A small city or town,0
N,N,male,67,no,30-under 75,A suburb near a large city,0
Y,Y,female,43,no,30-under 75,A suburb near a large city,8
N,N,female,83,no,30-under 75,A large city,3
N,N,male,78,no,under 30,A rural area,50
N,N,female,79,no,,A small city or town,0
Y,Y,female,58,no,,A suburb near a large city,30
Y,Y,female,26,no,,A rural area,4
N,N,male,80,no,30-under 75,A rural area,0
Y,N,female,59,no,30-under 75,A large city,2
Y,N,female,50,no,30-under 75,A small city or town,2
Y,N,female,16,no,,A large city,7
N,Y,male,90,no,30-under 75,A small city or town,4
N,N,female,52,yes,30-under 75,A small city or town,0
N,N,male,41,yes,150+,A suburb near a large city,2
Y,N,female,41,no,under 30,A small city or town,5
Y,Y,female,58,no,under 30,A small city or town,30
N,N,female,90,no,under 30,A large city,0
N,N,female,73,no,,A small city or town,0
Y,Y,female,47,no,75-under 150,A small city or town,5
N,N,female,58,no,150+,A small city or town,12
Y,N,female,67,no,30-under 75,A small city or town,3
Y,N,female,84,no,under 30,A small city or town,
N,N,female,75,no,under 30,A small city or town,0
N,N,male,55,no,150+,A small city or town,1
Y,N,female,68,no,,A rural area,2
N,Y,female,39,no,under 30,A small city or town,3
Y,Y,female,57,yes,75-under 150,A suburb near a large city,12
Y,Y,male,23,no,30-under 75,A large city,30
Y,Y,female,54,no,75-under 150,A small city or town,4
Y,Y,male,69,no,75-under 150,A rural area,
N,N,male,80,no,under 30,A small city or town,20
Y,Y,female,42,yes,30-under 75,A small city or town,30
N,N,male,84,no,30-under 75,A small city or town,6
N,N,female,74,no,,A small city or town,75
N,Y,male,34,yes,150+,A suburb near a large city,
N,N,female,67,no,under 30,A large city,6
Y,Y,female,19,no,,A small city or town,5
Y,N,female,79,no,,A large city,6
N,N,female,68,no,30-under 75,A rural area,0
Y,Y,female,64,no,75-under 150,A small city or town,50
N,Y,female,53,no,under 30,A suburb near a large city,0
Y,N,female,50,no,150+,A suburb near a large city,25
N,N,female,50,no,75-under 150,A small city or town,0
N,N,female,84,no,,A rural area,0
N,N,male,17,no,,A suburb near a large city,10
Y,N,female,70,no,,A small city or town,15
N,N,male,52,no,under 30,A suburb near a large city,0
N,N,male,58,no,75-under 150,A suburb near a large city,1
Y,N,female,59,no,under 30,A rural area,
Y,N,male,55,no,150+,A large city,6
Y,N,female,44,yes,75-under 150,A small city or town,0
Y,N,female,65,no,under 30,A suburb near a large city,
N,N,female,53,no,75-under 150,A small city or town,0
N,N,male,74,no,150+,A small city or town,8
Y,N,female,39,yes,30-under 75,A large city,2
N,N,male,79,no,under 30,A large city,
Y,N,female,70,no,under 30,A large city,0
Y,Y,male,61,no,75-under 150,A small city or town,10
